ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,30.65,0.53,Animal 2_6hrs_015,55.93,72.27,190.8,92.62,133.53,121.02,108.54,53.16
111.0,111.0,58.24,1.02,Animal 2_6hrs_015,64.12,46.15,132.29,95.07,109.71,109.77,92.9,55.9
111.0,111.0,100.45,1.75,Animal 2_6hrs_016,1.18,60.18,98.38,5.2,160.14,108.66,107.32,53.25
111.0,111.0,-18.36,-0.32,Animal 2_6hrs_016,73.59,123.77,168.54,59.59,225.06,106.21,115.61,63.87
111.0,111.0,-0.59,-0.01,Animal 2_6hrs_018,53.81,148.41,190.38,88.65,133.34,147.5,102.75,58.12
111.0,111.0,20.42,0.36,Animal 2_6hrs_018,85.45,69.4,163.35,112.94,192.96,93.81,97.79,62.01
111.0,111.0,-23.62,-0.41,Animal 2_6hrs_018,25.6,130.92,168.44,41.08,109.93,103.77,106.35,43.21
111.0,111.0,54.85,0.96,Animal 2_6hrs_019,50.95,28.18,159.29,76.02,331.6,117.6,96.33,120.76
111.0,111.0,27.87,0.49,Animal 2_6hrs_019,0.2,88.88,120.53,1.41,163.47,102.05,95.62,55.85
111.0,111.0,-4.48,-0.08,Animal 2_6hrs_020,41.44,110.57,181.88,59.76,97.2,104.27,101.5,42.76
111.0,111.0,14.82,0.26,Animal 2_6hrs_020,63.65,74.7,190.45,68.87,178.46,97.39,104.66,59.37
111.0,111.0,-17.93,-0.31,Animal 2_6hrs_021,84.54,132.75,176.75,154.2,286.19,105.82,93.52,73.98
111.0,111.0,25.98,0.45,Animal 2_6hrs_021,74.88,68.87,155.68,154.24,231.65,102.9,85.83,59.81
111.0,111.0,145.52,2.54,Animal 2_6hrs_022,101.45,60.64,63.56,93.99,210.41,93.03,110.71,76.25
111.0,111.0,-154.18,-2.69,Animal 2_6hrs_023,107.9,132.52,78.96,147.43,229.91,115.39,114.38,62.53
111.0,111.0,-55.29,-0.96,Animal 2_6hrs_023,55.4,197.32,147.89,52.91,177.56,118.05,92.97,54.0
111.0,111.0,-52.65,-0.92,Animal 2_6hrs_024,62.57,151.88,177.79,90.17,75.5,78.57,121.85,35.66
111.0,111.0,-1.31,-0.02,Animal 2_6hrs_025,0.36,117.29,212.06,2.0,167.95,114.83,104.39,60.31
111.0,111.0,58.48,1.02,Animal 2_6hrs_025,1.04,2.6,211.8,4.74,175.39,101.62,151.06,73.85
111.0,111.0,-8.32,-0.15,Animal 2_6hrs_026,81.93,116.13,170.85,136.45,264.07,107.26,110.23,84.6
111.0,111.0,34.73,0.61,Animal 2_6hrs_027,47.36,72.7,168.15,43.31,111.57,110.69,113.35,48.06
111.0,111.0,71.52,1.25,Animal 2_6hrs_027,49.5,34.54,115.98,86.33,184.09,84.32,99.34,62.12
111.0,111.0,69.76,1.22,Animal 2_6hrs_028,55.11,26.78,123.09,84.43,306.2,115.3,90.45,90.94
111.0,111.0,-75.66,-1.32,Animal 2_6hrs_028,57.74,177.59,115.19,113.53,164.56,105.69,96.8,57.69
84.0,111.0,-22.03,-0.38,Animal 2_6hrs_028,38.36,119.07,156.17,81.49,106.68,99.3,107.31,57.0
111.0,111.0,-60.64,-1.06,Animal 2_6hrs_029,36.48,174.25,145.3,41.2,123.38,111.78,110.16,44.42
111.0,111.0,-0.21,-0.0,Animal 2_6hrs_029,13.79,64.34,196.09,20.22,228.46,63.95,88.64,65.66
111.0,111.0,-58.55,-1.02,Animal 2_6hrs_029,3.38,177.9,147.23,17.05,187.97,90.1,93.53,65.86
111.0,111.0,-45.83,-0.8,Animal 2_6hrs_030,30.01,196.92,175.79,32.03,167.87,88.41,70.38,62.69
111.0,111.0,-47.58,-0.83,Animal 2_6hrs_030,49.99,162.45,165.11,57.29,172.93,99.18,107.29,52.46
111.0,111.0,74.48,1.3,Animal 2_6hrs_030,74.17,34.77,147.04,85.34,195.49,122.03,122.81,66.03
111.0,111.0,-48.38,-0.84,Animal 2_6hrs_031,102.78,155.05,166.1,104.58,145.32,97.03,114.56,48.09
111.0,111.0,-22.45,-0.39,Animal 2_6hrs_031,50.83,146.13,193.65,49.01,263.92,106.55,97.89,75.84
111.0,111.0,20.53,0.36,Animal 2_6hrs_031,80.38,95.54,139.24,100.83,60.33,114.52,88.56,39.74
111.0,111.0,43.59,0.76,Animal 2_6hrs_031,77.48,68.28,192.23,85.3,74.09,138.72,118.24,38.08
111.0,111.0,-25.56,-0.45,Animal 2_6hrs_032,113.42,133.74,183.1,168.49,152.23,100.67,113.94,161.5
111.0,111.0,-21.89,-0.38,Animal 2_6hrs_032,53.92,135.28,166.95,95.16,185.11,107.7,98.31,55.04
111.0,111.0,19.19,0.33,Animal 2_6hrs_032,26.64,82.24,172.66,71.48,143.68,107.57,99.87,53.16
111.0,111.0,-28.21,-0.49,Animal 2_6hrs_032,41.27,139.25,189.85,40.65,151.45,106.79,129.33,57.42
111.0,111.0,-7.82,-0.14,Animal 2_6hrs_032,48.62,111.36,144.3,109.21,153.8,105.7,103.09,50.53
111.0,111.0,-7.49,-0.13,Animal 2_6hrs_033,42.54,114.38,156.02,109.62,155.01,108.68,112.63,50.54
111.0,111.0,4.86,0.08,Animal 2_6hrs_033,47.73,93.82,177.88,82.13,99.34,99.56,110.53,40.84
111.0,111.0,-97.47,-1.7,Animal 2_6hrs_034,93.66,183.96,91.99,68.26,156.95,124.58,99.78,52.58
111.0,111.0,-43.98,-0.77,Animal 2_6hrs_034,20.97,184.27,174.3,39.12,140.81,89.61,76.23,77.07
111.0,111.0,38.2,0.67,Animal 2_6hrs_034,60.86,40.09,183.52,74.15,207.95,91.26,118.5,64.65
111.0,111.0,46.0,0.8,Animal 2_6hrs_035,45.24,46.81,154.3,52.31,180.77,97.71,105.15,70.13
111.0,111.0,11.82,0.21,Animal 2_6hrs_035,39.21,93.65,168.32,43.5,162.56,107.84,100.5,50.11
111.0,111.0,36.96,0.65,Animal 2_6hrs_036,34.15,50.81,156.33,80.51,279.25,92.72,100.63,80.97
111.0,111.0,61.37,1.07,Animal 2_6hrs_036,61.29,28.68,139.6,49.33,186.17,96.62,102.5,54.68
111.0,111.0,-11.25,-0.2,Animal 2_6hrs_036,7.31,117.32,171.36,12.16,106.54,104.01,104.46,40.22
111.0,111.0,-86.81,-1.52,Animal 2_6hrs_036,20.74,201.27,106.59,23.5,212.0,97.49,100.81,61.69
111.0,111.0,-20.15,-0.35,Animal 2_6hrs_037,22.62,114.0,203.52,54.95,104.98,88.47,133.97,48.17
111.0,111.0,17.41,0.3,Animal 2_6hrs_037,36.42,90.36,189.98,60.18,141.16,113.47,116.27,49.63
111.0,111.0,-45.51,-0.79,Animal 2_6hrs_037,58.05,182.91,168.95,96.76,154.98,113.7,100.96,52.18
111.0,111.0,115.09,2.01,Animal 2_6hrs_038,62.47,59.77,73.7,68.02,232.38,131.81,107.43,72.99
111.0,111.0,-62.35,-1.09,Animal 2_6hrs_038,53.91,166.91,139.64,44.18,145.81,109.93,109.78,52.76
