ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,37.95,0.66,Animal 1_6hrs_018,21.88,73.95,153.5,22.53,79.47,113.08,103.33,34.67
111.0,111.0,24.55,0.43,Animal 1_6hrs_018,64.43,79.89,178.58,96.66,117.36,114.63,102.52,58.33
111.0,111.0,-13.86,-0.24,Animal 1_6hrs_018,16.98,136.9,166.88,27.94,109.91,121.49,104.4,41.78
111.0,111.0,-1.26,-0.02,Animal 1_6hrs_018,39.11,106.39,160.46,67.51,74.46,104.94,94.31,38.55
111.0,111.0,-54.54,-0.95,Animal 1_6hrs_018,61.47,163.79,150.46,75.52,145.9,117.17,117.26,48.13
111.0,111.0,36.05,0.63,Animal 1_6hrs_019,27.89,52.57,159.04,36.87,103.66,102.91,89.87,40.63
111.0,111.0,11.32,0.2,Animal 1_6hrs_020,125.04,95.75,155.1,150.95,113.91,104.86,109.58,46.0
111.0,111.0,-19.39,-0.34,Animal 1_6hrs_020,0.22,129.58,165.89,1.56,128.05,108.03,104.69,46.41
111.0,111.0,-19.07,-0.33,Animal 1_6hrs_020,87.85,144.32,186.29,107.66,251.76,114.76,100.81,62.82
111.0,111.0,-32.1,-0.56,Animal 1_6hrs_020,57.0,137.87,169.03,64.65,74.16,96.97,103.82,37.45
111.0,111.0,-38.73,-0.68,Animal 1_6hrs_021,56.37,137.12,177.47,135.13,179.8,93.81,123.47,53.4
111.0,111.0,-5.53,-0.1,Animal 1_6hrs_021,29.47,128.38,143.83,66.22,102.7,122.61,84.19,39.35
111.0,111.0,-40.95,-0.71,Animal 1_6hrs_021,44.61,186.45,182.98,90.52,265.81,116.7,102.61,93.27
111.0,111.0,-1.0,-0.02,Animal 1_6hrs_022,59.17,121.15,193.51,70.15,163.47,119.7,110.25,51.81
111.0,111.0,-41.78,-0.73,Animal 1_6hrs_022,79.33,160.95,193.23,86.25,142.6,95.53,119.99,56.39
111.0,111.0,34.0,0.59,Animal 1_6hrs_022,32.61,63.37,195.43,44.79,158.48,117.58,115.06,50.01
111.0,111.0,23.8,0.42,Animal 1_6hrs_023,58.7,55.55,195.36,84.24,202.08,91.28,114.34,61.92
111.0,111.0,1.21,0.02,Animal 1_6hrs_023,47.53,118.85,166.48,57.23,88.18,120.12,106.38,37.5
111.0,111.0,-48.61,-0.85,Animal 1_6hrs_023,0.21,181.78,132.56,1.71,128.35,101.65,61.94,51.11
