ID,n,ratios,sample_proportion_error,hours,Genotype
1-2,147,0.5714285714285714,0.04081632653061225,2,DEE/DEE Mutant
1-4,117,0.7350427350427351,0.040799165474919144,4,DEE/DEE Mutant
1-6,125,0.816,0.03465763985039951,6,DEE/DEE Mutant
2-2,113,0.7168141592920354,0.042383794316032945,2,Wild type
2-4,128,0.8125,0.034499065884093155,4,Wild type
2-6,103,0.9223300970873787,0.026372479237045596,6,Wild type
