ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,-27.61,-0.48,Animal 2_4HRS_023,55.54,153.79,185.46,107.41,211.63,112.2,105.92,74.29
111.0,111.0,-59.16,-1.03,Animal 2_4HRS_023,67.92,149.22,142.03,117.78,234.62,78.55,99.83,82.73
111.0,111.0,10.39,0.18,Animal 2_4HRS_023,47.38,64.24,193.85,63.09,187.38,78.25,117.4,55.47
111.0,111.0,-22.73,-0.4,Animal 2_4HRS_024,57.64,125.38,172.16,65.59,151.77,89.55,86.63,47.81
111.0,111.0,-11.1,-0.19,Animal 2_4HRS_024,22.41,116.06,147.94,62.98,147.55,102.34,78.02,47.12
111.0,111.0,7.45,0.13,Animal 2_4HRS_024,2.72,96.65,192.91,7.82,177.86,108.2,104.6,81.54
111.0,111.0,6.97,0.12,Animal 2_4HRS_024,33.48,111.78,119.05,41.89,103.45,118.31,65.66,40.25
111.0,111.0,35.55,0.62,Animal 2_4HRS_025,42.29,50.9,168.95,112.48,136.97,106.76,90.79,52.94
111.0,111.0,-40.08,-0.7,Animal 2_4HRS_025,67.39,168.28,165.35,122.96,180.21,115.25,102.34,62.13
111.0,111.0,-13.09,-0.23,Animal 2_4HRS_025,1.18,143.26,218.89,6.24,8.58,100.05,33.1,16.54
111.0,111.0,-7.84,-0.14,Animal 2_4HRS_027,71.26,115.88,183.92,105.35,254.38,104.03,97.89,66.48
111.0,111.0,-37.52,-0.65,Animal 2_4HRS_027,93.36,156.2,183.88,94.78,268.42,98.25,108.42,78.96
111.0,111.0,-131.13,-2.29,Animal 2_4HRS_028,13.45,199.24,53.54,22.37,115.05,142.14,103.41,47.7
111.0,111.0,-20.18,-0.35,Animal 2_4HRS_028,32.94,139.93,171.8,57.44,134.66,117.86,111.75,52.64
111.0,111.0,60.55,1.06,Animal 2_4HRS_029,27.27,22.04,165.47,51.8,249.68,109.77,115.94,66.54
111.0,111.0,-5.75,-0.1,Animal 2_4HRS_029,27.66,85.6,171.06,52.46,82.94,79.33,108.73,39.25
111.0,111.0,42.13,0.74,Animal 2_4HRS_029,42.45,81.86,190.04,76.66,85.95,125.93,141.32,38.14
111.0,111.0,29.47,0.51,Animal 2_4HRS_030,0.36,53.55,216.97,2.43,211.6,116.04,106.37,61.85
111.0,111.0,-54.82,-0.96,Animal 2_4HRS_030,32.46,138.36,143.55,74.77,50.63,117.44,128.8,30.16
111.0,111.0,47.77,0.83,Animal 2_4HRS_030,19.55,57.7,155.01,32.05,97.55,107.76,109.56,38.48
111.0,111.0,56.98,0.99,Animal 2_4HRS_031,27.26,61.21,128.49,85.79,204.66,129.11,84.35,73.65
111.0,111.0,-15.58,-0.27,Animal 2_4HRS_031,53.84,133.69,161.63,137.78,142.18,113.81,90.33,63.64
111.0,111.0,94.44,1.65,Animal 2_4HRS_031,75.17,39.0,106.63,139.97,113.16,144.36,114.8,50.91
111.0,111.0,35.6,0.62,Animal 2_4HRS_031,31.43,46.21,192.65,70.94,327.83,121.68,87.24,83.88
111.0,111.0,91.16,1.59,Animal 2_4HRS_031,57.06,33.39,103.26,73.53,130.95,110.85,104.84,46.15
111.0,111.0,13.19,0.23,Animal 2_4HRS_032,62.09,85.61,169.22,128.14,195.77,101.27,102.38,62.23
111.0,111.0,69.85,1.22,Animal 2_4HRS_033,52.08,65.75,131.46,85.9,190.61,121.8,110.89,77.91
111.0,111.0,25.67,0.45,Animal 2_4HRS_033,29.84,89.61,177.22,64.9,90.99,121.42,111.04,38.42
111.0,111.0,4.31,0.08,Animal 2_4HRS_033,2.17,75.45,174.28,8.47,159.33,80.99,100.74,60.56
111.0,111.0,30.28,0.53,Animal 2_4HRS_033,28.04,70.65,178.86,66.52,121.98,110.6,110.44,41.88
111.0,111.0,35.37,0.62,Animal 2_4HRS_035,22.98,71.99,149.37,50.67,108.42,108.97,97.27,39.74
111.0,111.0,-45.7,-0.8,Animal 2_4HRS_035,90.47,175.5,178.62,81.83,203.46,97.43,102.43,65.46
111.0,111.0,-52.02,-0.91,Animal 2_4HRS_035,37.21,169.59,156.63,48.34,120.65,114.4,113.54,53.03
