ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,-38.54,-0.67,Animal 1_6HRS_004,34.4,161.77,162.18,72.48,146.66,115.89,104.59,49.47
111.0,111.0,14.18,0.25,Animal 1_6HRS_004,28.88,90.12,186.77,76.63,143.42,109.91,108.39,49.67
111.0,111.0,17.65,0.31,Animal 1_6HRS_006,50.19,89.86,187.96,48.02,128.51,113.71,112.99,48.09
111.0,111.0,161.18,2.81,Animal 1_6HRS_006,72.26,39.51,41.76,85.35,99.62,67.09,122.7,47.94
111.0,111.0,-14.17,-0.25,Animal 1_6HRS_006,40.96,132.47,181.67,81.7,195.55,111.38,98.17,97.47
111.0,111.0,-41.69,-0.73,Animal 1_6HRS_007,41.27,180.3,184.72,57.26,122.8,94.42,88.28,53.31
111.0,111.0,-21.54,-0.38,Animal 1_6HRS_007,0.9,143.38,191.1,5.71,156.85,103.4,89.8,71.31
111.0,111.0,42.29,0.74,Animal 1_6HRS_007,13.76,14.34,200.46,28.4,125.6,104.14,101.72,56.88
111.0,111.0,-3.76,-0.07,Animal 1_6HRS_007,49.28,110.77,198.72,103.02,214.15,105.37,116.72,65.64
111.0,111.0,46.9,0.82,Animal 1_6HRS_008,15.7,19.79,200.64,32.4,191.92,119.38,107.44,63.77
111.0,111.0,56.31,0.98,Animal 1_6HRS_008,44.75,19.93,155.99,79.86,209.73,105.39,99.01,84.62
111.0,111.0,-42.11,-0.73,Animal 1_6HRS_008,0.2,214.29,219.41,0.76,116.76,111.22,105.36,42.62
111.0,111.0,37.37,0.65,Animal 1_6HRS_011,60.59,62.61,171.1,112.9,178.56,109.59,109.59,62.42
111.0,111.0,18.73,0.33,Animal 1_6HRS_012,77.5,83.56,156.66,133.35,129.19,109.98,78.72,54.26
111.0,111.0,-46.07,-0.8,Animal 1_6HRS_012,23.43,126.98,143.91,39.9,124.47,72.31,91.24,58.06
111.0,111.0,49.03,0.86,Animal 1_6HRS_012,0.21,21.33,219.56,1.47,97.58,143.68,113.32,46.74
111.0,111.0,-13.53,-0.24,Animal 1_6HRS_014,85.45,126.42,165.68,113.17,238.83,106.7,83.75,79.57
111.0,111.0,38.74,0.68,Animal 1_6HRS_014,24.56,57.34,165.18,52.29,125.87,111.66,97.48,43.97
111.0,111.0,45.67,0.8,Animal 1_6HRS_017,52.95,39.63,188.04,88.34,17.75,138.06,91.89,29.75
111.0,111.0,64.4,1.12,Animal 1_6HRS_019,40.49,44.13,134.99,60.94,140.42,112.88,102.05,50.72
111.0,111.0,32.62,0.57,Animal 1_6HRS_019,61.59,52.29,164.73,71.35,166.32,97.48,94.12,53.95
111.0,111.0,42.56,0.74,Animal 1_6HRS_019,60.02,51.52,169.76,121.09,183.42,104.91,111.62,65.05
111.0,111.0,12.66,0.22,Animal 1_6HRS_020,61.38,75.63,160.37,156.74,214.78,90.25,95.27,67.54
111.0,111.0,-45.71,-0.8,Animal 1_6HRS_020,85.84,173.02,184.29,85.27,91.55,104.93,117.87,94.54
111.0,111.0,125.31,2.19,Animal 1_6HRS_021,156.31,100.02,74.15,244.31,276.12,132.95,97.47,90.83
111.0,111.0,-33.61,-0.59,Animal 1_6HRS_021,94.23,136.13,141.02,137.23,88.83,118.87,115.04,37.68
111.0,111.0,50.11,0.87,Animal 1_6HRS_021,46.14,74.36,189.2,96.85,202.65,140.89,133.59,76.88
111.0,111.0,-4.88,-0.09,Animal 1_6HRS_021,23.07,127.34,146.7,39.11,117.22,121.11,73.74,44.03
111.0,111.0,-55.76,-0.97,Animal 1_6HRS_021,54.02,199.08,128.07,65.98,256.78,138.2,86.63,98.7
111.0,111.0,10.7,0.19,Animal 1_6HRS_022,12.47,75.7,177.35,20.78,178.25,90.16,100.84,57.54
111.0,111.0,60.36,1.05,Animal 1_6HRS_022,51.53,85.21,132.53,88.76,143.46,154.64,93.02,47.53
111.0,111.0,45.95,0.8,Animal 1_6HRS_022,40.18,48.6,165.98,66.97,140.12,113.18,103.49,46.83
111.0,111.0,35.22,0.61,Animal 1_6HRS_023,26.77,88.19,125.13,59.55,168.25,122.4,76.67,51.68
111.0,111.0,82.59,1.44,Animal 1_6HRS_024,41.63,17.43,170.13,57.07,173.34,118.16,157.03,71.87
111.0,111.0,41.05,0.72,Animal 1_6HRS_025,32.95,89.16,147.98,50.67,68.21,131.34,99.55,47.13
111.0,111.0,-36.98,-0.65,Animal 1_6HRS_025,79.98,151.19,169.03,125.83,152.26,104.37,106.86,48.97
111.0,111.0,171.9,3.0,Animal 1_6HRS_025,39.27,105.56,70.45,58.97,105.92,112.7,120.61,56.3
111.0,111.0,85.77,1.5,Animal 1_6HRS_027,28.57,57.03,112.1,46.78,46.76,95.56,109.25,29.99
111.0,111.0,-85.96,-1.5,Animal 1_6HRS_027,42.77,179.93,112.39,42.78,97.72,109.93,107.44,43.12
