p_values,pooled_sample_proportion,standard_error_between_two_proportions,times,z_scores
0.028083219452915698,0.6869158878504673,0.06387554699629865,2hrs,1.9097420114446233
0.8100944141906912,0.7962085308056872,0.05599333328370617,4hrs,-0.878244271093146
0.9999998701123977,0.6666666666666666,0.07464511300705867,6hrs,-5.150512797487046
