ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,-27.74,-0.48,Animal 1_2hrs_004,97.3,133.78,163.74,87.53,112.52,105.37,109.7,49.85
111.0,111.0,37.52,0.65,Animal 1_2hrs_004,0.96,75.52,169.68,5.7,118.95,123.35,107.41,44.95
111.0,111.0,-143.53,-2.51,Animal 1_2hrs_004,30.85,146.32,62.66,37.94,116.77,114.54,105.65,47.06
111.0,111.0,9.7,0.17,Animal 1_2hrs_004,31.27,91.45,173.21,40.06,165.7,103.3,103.93,70.05
111.0,111.0,-83.5,-1.46,Animal 1_2hrs_005,97.18,177.15,111.61,118.87,161.57,139.79,107.35,56.27
111.0,111.0,5.42,0.09,Animal 1_2hrs_005,34.47,105.23,171.69,44.67,63.46,111.07,110.06,36.53
111.0,111.0,-19.12,-0.33,Animal 1_2hrs_006,0.17,117.87,137.73,1.52,64.53,103.19,95.41,40.47
111.0,111.0,-105.96,-1.85,Animal 1_2hrs_006,60.27,191.31,108.43,45.4,142.98,120.08,128.8,80.07
111.0,111.0,5.25,0.09,Animal 1_2hrs_006,15.36,109.78,183.62,20.2,113.02,115.94,116.52,43.44
107.0,111.0,-109.84,-1.92,Animal 1_2hrs_006,181.25,161.64,69.97,62.09,106.4,116.78,86.15,44.6
111.0,111.0,-53.5,-0.93,Animal 1_2hrs_007,58.31,182.25,154.15,43.49,125.18,119.1,107.42,51.64
111.0,111.0,-24.57,-0.43,Animal 1_2hrs_007,8.01,157.17,202.01,12.96,218.11,116.45,112.96,95.23
111.0,111.0,-4.12,-0.07,Animal 1_2hrs_007,31.78,114.72,181.3,53.35,128.42,109.52,109.13,49.58
111.0,111.0,3.03,0.05,Animal 1_2hrs_007,27.59,140.75,166.4,49.53,141.81,143.64,111.88,58.85
111.0,111.0,-21.1,-0.37,Animal 1_2hrs_007,0.26,88.41,139.55,1.95,62.54,72.15,97.4,42.01
111.0,111.0,70.82,1.24,Animal 1_2hrs_008,20.55,58.09,102.99,41.84,42.06,115.7,82.94,27.42
111.0,111.0,91.54,1.6,Animal 1_2hrs_008,23.42,38.53,101.01,28.55,153.5,106.71,102.84,72.03
111.0,111.0,-11.44,-0.2,Animal 1_2hrs_008,60.97,96.53,180.14,63.45,124.99,82.21,109.37,63.36
111.0,111.0,102.72,1.79,Animal 1_2hrs_008,121.47,57.91,82.46,118.67,107.75,76.37,86.63,66.5
111.0,111.0,-14.96,-0.26,Animal 1_2hrs_008,2.31,126.16,193.92,9.57,215.15,95.8,80.26,82.81
111.0,111.0,96.17,1.68,Animal 1_2hrs_009,40.7,28.26,96.6,48.6,228.18,69.53,101.07,121.14
111.0,111.0,-43.15,-0.75,Animal 1_2hrs_009,46.84,147.76,146.62,79.41,33.44,103.15,99.03,25.34
75.0,111.0,103.47,1.81,Animal 1_2hrs_009,18.43,36.51,94.4,42.96,110.59,97.05,108.91,49.03
111.0,111.0,-61.13,-1.07,Animal 1_2hrs_012,30.63,152.18,146.0,68.01,149.19,91.08,112.31,77.48
111.0,111.0,48.02,0.84,Animal 1_2hrs_012,71.63,57.68,186.31,77.91,72.81,145.54,107.26,43.45
111.0,111.0,45.19,0.79,Animal 1_2hrs_012,0.66,46.35,182.54,4.16,331.15,133.25,96.22,130.29
111.0,111.0,176.42,3.08,Animal 1_2hrs_012,35.19,112.18,68.73,107.69,1.36,114.48,105.48,12.42
111.0,111.0,-31.62,-0.55,Animal 1_2hrs_014,53.01,185.48,170.75,84.64,133.97,133.54,86.39,90.19
111.0,111.0,-102.86,-1.8,Animal 1_2hrs_014,203.6,166.46,100.32,85.67,108.52,114.34,112.22,62.43
111.0,111.0,28.58,0.5,Animal 1_2hrs_014,0.77,57.8,194.09,3.75,120.49,109.09,99.96,44.51
111.0,111.0,33.25,0.58,Animal 1_2hrs_016,27.84,92.4,169.98,36.03,1.99,135.0,105.0,18.19
111.0,111.0,31.51,0.55,Animal 1_2hrs_016,8.68,90.13,96.15,18.37,284.3,101.57,77.48,119.62
111.0,111.0,11.17,0.19,Animal 1_2hrs_016,0.13,68.36,212.91,1.02,182.2,91.94,93.56,74.71
111.0,111.0,-45.36,-0.79,Animal 1_2hrs_016,58.34,159.83,136.42,83.93,102.64,119.96,97.05,91.25
111.0,111.0,-116.88,-2.04,Animal 1_2hrs_017,46.76,182.31,66.86,44.12,155.57,123.71,96.56,62.64
111.0,111.0,115.61,2.02,Animal 1_2hrs_017,30.17,62.37,88.12,51.81,111.72,110.56,111.22,43.7
111.0,111.0,22.54,0.39,Animal 1_2hrs_017,39.8,47.57,164.58,71.94,130.16,78.47,90.14,53.87
111.0,111.0,-102.99,-1.8,Animal 1_2hrs_017,54.62,174.65,90.69,65.5,127.03,107.74,106.13,45.87
111.0,111.0,-77.66,-1.36,Animal 1_2hrs_018,70.43,184.33,118.28,94.25,241.61,114.81,103.07,79.49
111.0,111.0,-30.66,-0.54,Animal 1_2hrs_018,41.76,132.44,171.3,91.42,121.87,93.1,104.94,51.11
111.0,111.0,-22.86,-0.4,Animal 1_2hrs_018,56.05,136.74,195.31,47.01,206.01,101.7,112.2,59.64
