ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,29.79,0.52,Animal 1_2HRS_005,45.65,51.79,174.64,46.45,109.68,94.11,100.72,41.84
111.0,111.0,-18.74,-0.33,Animal 1_2HRS_005,12.92,123.48,169.2,31.9,107.41,105.6,116.49,40.87
111.0,111.0,-15.86,-0.28,Animal 1_2HRS_005,54.51,129.25,173.96,66.36,65.81,109.23,103.52,36.49
111.0,111.0,4.13,0.07,Animal 1_2HRS_005,49.84,101.32,185.5,43.45,166.46,106.22,117.5,52.8
111.0,111.0,-68.61,-1.2,Animal 1_2HRS_006,1.48,193.26,142.3,7.9,1.82,114.0,111.25,16.59
111.0,111.0,-158.63,-2.77,Animal 1_2HRS_006,58.49,130.4,54.07,115.48,247.95,112.73,99.22,82.68
111.0,111.0,36.51,0.64,Animal 1_2HRS_010,196.76,108.41,138.54,358.41,98.53,126.62,113.95,45.05
111.0,111.0,-30.81,-0.54,Animal 1_2HRS_010,28.75,146.62,169.3,54.31,80.16,115.78,117.58,34.5
111.0,111.0,23.29,0.41,Animal 1_2HRS_010,63.42,60.53,196.29,118.27,310.87,86.92,134.98,109.3
111.0,111.0,-135.84,-2.37,Animal 1_2HRS_011,16.92,150.93,62.99,33.17,76.74,110.57,104.55,36.82
111.0,111.0,-14.64,-0.26,Animal 1_2HRS_011,57.04,104.25,169.78,55.51,63.17,87.46,105.52,42.93
111.0,111.0,-47.81,-0.83,Animal 1_2HRS_011,15.24,212.23,182.23,23.84,229.91,130.38,108.03,91.26
111.0,111.0,-95.29,-1.66,Animal 1_2HRS_012,62.15,193.2,95.44,71.71,154.9,121.93,102.04,59.13
111.0,111.0,36.27,0.63,Animal 1_2HRS_013,50.74,50.36,170.32,71.18,133.63,97.37,106.26,60.35
111.0,111.0,-81.28,-1.42,Animal 1_2HRS_013,28.96,193.83,114.19,54.45,89.85,120.55,102.95,41.14
111.0,111.0,133.39,2.33,Animal 1_2HRS_013,73.11,63.07,49.96,108.23,45.77,128.36,111.68,31.16
111.0,111.0,-106.26,-1.85,Animal 1_2HRS_013,87.35,151.71,91.32,174.08,113.23,100.79,106.17,43.2
111.0,111.0,31.8,0.56,Animal 1_2HRS_016,41.94,55.48,189.01,94.8,220.71,107.25,105.52,76.52
111.0,111.0,47.81,0.83,Animal 1_2HRS_016,3.44,36.73,190.92,13.39,97.88,146.83,91.12,54.56
111.0,111.0,-59.83,-1.04,Animal 1_2HRS_018,25.6,180.25,144.53,50.98,67.84,114.28,106.17,37.31
111.0,111.0,64.45,1.12,Animal 1_2HRS_018,27.03,42.4,127.7,48.89,89.3,113.26,93.82,40.18
111.0,111.0,28.07,0.49,Animal 1_2HRS_018,1.22,84.02,187.23,4.84,298.7,124.06,112.14,89.32
111.0,111.0,161.91,2.83,Animal 1_2HRS_018,140.41,104.15,55.42,240.81,123.37,119.07,101.09,47.14
